FAN	FAN_PREDICTOR	HALF	t	nss_mean	nss_nanmean	n_nan	n_subjects	method	dt	n_norm	SIGMA_X	SIGMA_Y	SIGMA_T	dt_max	qf0	qf1	qf2	qf3	qf4	qf5	nss0	nss1	nss2	nss3	nss4	nss5	nss6	nss7	nss8	total_time
FCB	BVB	1	248480000	nan	3.699163e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	13	0	0	7.775349e+00	6.606146e+00	1.839365e+00	-2.076404e-01	nan	6.032639e-02	8.459242e+00	-2.445308e-01	5.305048e+00	83.117000
FCB	BVB	1	248520000	nan	3.955277e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	9	12	10	12	0	0	8.035484e+00	7.661531e+00	1.586409e+00	7.590506e-01	nan	1.246051e-01	9.550310e+00	-3.133183e-01	4.238144e+00	82.274000
FCB	BVB	1	248560000	2.736508e+00	2.736508e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	7	12	11	11	0	0	6.672093e+00	3.827155e-01	-2.789695e-01	2.206953e-01	6.941779e+00	7.484213e-02	9.741867e+00	-3.091931e-01	1.182747e+00	91.540000
FCB	BVB	1	248600000	1.357694e+00	1.357694e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	4	13	10	9	0	0	-1.067587e-01	-1.924206e-01	1.800773e+00	8.060812e-02	5.693074e+00	-2.784520e-01	-9.794725e-02	3.018619e+00	2.301753e+00	90.233000
FCB	BVB	1	248640000	1.677711e+00	1.677711e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	4	13	9	6	0	0	-1.909478e-01	-2.892525e-01	3.204326e+00	3.117361e+00	1.074629e+00	5.885671e+00	-1.881362e-01	1.709306e+00	7.764460e-01	89.902000
FCB	BVB	1	248680000	1.433189e+00	1.433189e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	6	12	10	6	0	0	5.004188e+00	3.318041e-01	3.629158e+00	-1.384228e-01	-1.742891e-01	4.666011e+00	-2.426930e-01	-2.336616e-01	5.660317e-02	91.059000
FCB	BVB	1	248720000	1.645651e+00	1.645651e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	8	12	10	5	0	0	5.868899e+00	7.111486e-01	1.083613e-01	5.217622e-01	6.875900e-01	5.898056e+00	1.608953e+00	-2.773801e-01	-3.165325e-01	90.091000
FCB	BVB	1	248760000	2.312773e+00	2.312773e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	11	11	6	0	0	5.231384e+00	-1.594046e-01	5.403850e+00	6.251160e+00	1.076377e+00	3.175806e+00	3.590763e-01	-2.281285e-01	-2.951672e-01	90.745000
FCB	BVB	1	248800000	1.291915e+00	1.291915e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	10	8	0	0	3.837625e-01	-3.712341e-01	1.480318e+00	9.757116e-01	2.824638e+00	2.859465e+00	-3.601875e-01	7.219201e-01	3.112845e+00	91.743000
FCB	BVB	1	248840000	3.834788e+00	3.834788e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	9	11	0	0	4.672543e+00	-2.987374e-01	5.118494e+00	8.640041e+00	3.816756e+00	2.810393e+00	4.588508e+00	2.796049e+00	2.369044e+00	92.025000
FCB	BVB	1	248880000	2.666026e+00	2.666026e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	10	8	12	0	0	2.932697e+00	-2.605869e-01	2.252741e+00	-2.582851e-01	2.156285e+00	2.994168e+00	7.428724e+00	9.349397e-01	5.813547e+00	91.650000
FCB	BVB	1	248920000	2.195319e+00	2.195319e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	8	11	0	0	-2.631833e-01	-2.671860e-01	2.602758e+00	-1.975563e-01	7.605062e-01	7.507535e-01	7.682538e+00	2.234810e+00	6.454434e+00	93.351000
FCB	BVB	1	248960000	2.450190e+00	2.450190e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	12	8	12	0	0	-2.616690e-01	3.047921e+00	2.413039e+00	-2.477297e-01	9.220356e-01	6.609652e-01	6.701614e+00	1.730150e+00	7.085383e+00	92.789000
FCB	BVB	1	249000000	nan	2.434841e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	10	13	8	12	0	0	-2.582916e-01	nan	3.517977e+00	-1.624686e-01	1.998774e-01	1.641494e+00	5.825748e+00	2.421427e+00	6.292968e+00	81.869000
FCB	BVB	1	249040000	2.909463e+00	2.909463e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	13	9	13	0	0	-2.578480e-01	-2.727008e-01	3.897607e+00	1.616402e+00	3.727088e+00	3.094078e+00	6.238872e+00	3.050440e+00	5.091232e+00	92.259000
FCB	BVB	1	249080000	2.872695e+00	2.872695e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	11	12	9	13	0	0	-2.502774e-01	-2.602999e-01	3.165509e+00	6.195378e+00	3.972395e+00	1.708481e+00	3.421586e+00	1.047281e+00	6.854203e+00	92.415000
FCB	BVB	1	249120000	2.611722e+00	2.611722e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	13	9	13	0	0	4.130897e+00	-2.588043e-01	2.791243e+00	5.631138e+00	4.131326e+00	6.815781e-01	-2.691169e-01	2.510363e+00	4.156876e+00	93.319000
FCB	BVB	1	249160000	3.487291e+00	3.487291e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	0	0	-2.286659e-01	-2.603620e-01	3.453525e+00	4.851281e+00	6.887248e+00	6.779461e+00	-2.468160e-01	2.413623e+00	7.736326e+00	94.256000
FCB	BVB	1	249200000	3.321799e+00	3.321799e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	8	12	0	0	1.002901e-01	-2.711341e-01	3.342112e+00	7.282736e+00	6.030486e+00	2.802032e+00	-2.741084e-01	1.259650e+00	9.624124e+00	92.492000
FCB	BVB	1	249240000	2.781423e+00	2.781423e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	10	13	0	0	2.153276e-01	-2.966816e-01	1.484064e+00	7.803964e+00	3.452158e+00	4.284836e+00	-2.985695e-01	1.113832e+00	7.273872e+00	94.099000
FCB	BVB	1	249280000	3.851802e+00	3.851802e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	12	0	0	-2.288447e-01	-2.467800e-01	7.378458e+00	5.762604e+00	5.994529e+00	4.842768e+00	-3.458995e-01	2.826187e+00	8.683195e+00	91.635000
FCB	BVB	1	249320000	3.251402e+00	3.251402e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	9	13	0	0	-3.218588e-01	-2.388653e-01	7.265708e+00	6.266535e+00	6.392144e+00	2.348799e+00	-1.976927e-01	3.401395e+00	4.346453e+00	93.648000
FCB	BVB	1	249360000	2.873478e+00	2.873478e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	9	13	0	0	-3.407336e-01	-1.462975e-01	7.286475e+00	6.644463e+00	5.993287e+00	6.547013e-02	-1.878874e-02	3.490063e+00	2.887367e+00	92.259000
FCB	BVB	1	249400000	2.560430e+00	2.560430e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	8	13	0	0	-3.119246e-01	-2.802107e-01	5.522593e+00	4.608825e+00	6.975454e+00	8.682992e-01	-2.437849e-01	4.795127e+00	1.109488e+00	92.977000
FCB	BVB	1	249440000	2.709786e+00	2.709786e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	0	0	-2.904841e-01	-3.232065e-01	5.387290e+00	5.296691e+00	7.809104e+00	1.911623e+00	-1.696927e-01	4.046340e+00	7.204137e-01	93.319000
FCB	BVB	1	249480000	2.265047e+00	2.265047e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	10	9	12	0	0	-3.196479e-01	-3.172564e-01	4.904461e+00	-3.438756e-01	7.710020e+00	-3.437790e-01	4.188524e+00	3.705067e+00	1.201913e+00	93.179000
FCB	BVB	1	249520000	2.542003e+00	2.542003e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	11	13	0	0	-3.209895e-01	2.778565e+00	4.894626e+00	-3.211528e-01	6.210020e+00	-3.456254e-01	6.501585e+00	3.761267e+00	-2.802714e-01	93.288000
FCB	BVB	1	249560000	nan	3.143602e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	11	11	12	0	0	-2.897409e-01	4.519586e+00	5.427926e+00	2.938125e+00	nan	-3.488198e-01	6.794241e+00	4.350122e+00	1.757374e+00	83.274000
FCB	BVB	1	249600000	nan	3.512561e+00	1	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	11	11	13	0	0	-2.998091e-01	5.734591e+00	5.394559e+00	4.476051e+00	nan	-3.004539e-01	6.365379e+00	4.707768e+00	2.022405e+00	82.042000
FCB	BVB	1	249640000	3.545865e+00	3.545865e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	12	12	9	13	0	0	-3.584894e-01	7.117125e+00	5.829861e+00	5.870452e+00	1.553671e-01	-3.050613e-01	6.777399e+00	4.812569e+00	2.013559e+00	93.584000
FCB	BVB	1	249680000	5.329090e+00	5.329090e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	12	7	13	0	0	-3.324986e-01	1.005026e+01	8.898638e+00	4.175130e+00	8.734474e+00	-2.835022e-01	8.504261e+00	5.892832e+00	2.322214e+00	86.082000
FCB	BVB	1	249720000	4.022819e+00	4.022819e+00	0	9	xy-grid	210000	40000	68.430000	68.430000	26250.000000	40000	13	13	7	13	0	0	-2.703603e-01	3.470796e-02	9.181580e+00	1.552020e+00	8.217533e+00	-3.351635e-01	9.003806e+00	5.783233e+00	3.038014e+00	92.461000
