"","participant","fan","team","testType","testTime","PC"
"158",22,"FCB","FCB","KritSit",1,0.857142857142857
"159",26,"FCB","FCB","KritSit",1,0.428571428571429
"160",31,"FCB","FCB","KritSit",1,0.666666666666667
"161",35,"FCB","FCB","KritSit",1,0.818181818181818
"162",39,"FCB","FCB","KritSit",1,0.8
"163",41,"FCB","FCB","KritSit",1,0.333333333333333
"164",43,"FCB","FCB","KritSit",1,0.375
"165",45,"FCB","FCB","KritSit",1,0.5
"166",47,"FCB","FCB","KritSit",1,0.714285714285714
"167",48,"FCB","FCB","KritSit",1,0.5
"168",50,"FCB","FCB","KritSit",1,0.833333333333333
"169",51,"FCB","FCB","KritSit",1,0.777777777777778
"170",53,"FCB","FCB","KritSit",1,0.5
"171",55,"FCB","FCB","KritSit",1,0.625
"172",56,"FCB","FCB","KritSit",1,0.666666666666667
"173",57,"FCB","FCB","KritSit",1,0.666666666666667
"174",59,"FCB","FCB","KritSit",1,0.5
"175",61,"FCB","FCB","KritSit",1,0.285714285714286
"176",1,"BVB","BVB","Tor",1,0.666666666666667
"177",3,"BVB","BVB","Tor",1,0.75
"178",5,"BVB","BVB","Tor",1,0
"179",7,"BVB","BVB","Tor",1,0.8
"180",23,"BVB","BVB","Tor",1,0.333333333333333
"181",24,"BVB","BVB","Tor",1,0.5
"182",25,"BVB","BVB","Tor",1,0.333333333333333
"183",28,"BVB","BVB","Tor",1,0.8
"184",29,"BVB","BVB","Tor",1,1
"185",30,"BVB","BVB","Tor",1,0.8
"186",32,"BVB","BVB","Tor",1,0.666666666666667
"187",33,"BVB","BVB","Tor",1,0.8
"188",34,"BVB","BVB","Tor",1,0.666666666666667
"189",36,"BVB","BVB","Tor",1,0.75
"190",38,"BVB","BVB","Tor",1,1
"191",40,"BVB","BVB","Tor",1,1
"192",42,"BVB","BVB","Tor",1,1
"193",44,"BVB","BVB","Tor",1,0.666666666666667
"194",52,"BVB","BVB","Tor",1,0.833333333333333
"195",54,"BVB","BVB","Tor",1,0.25
"196",58,"BVB","BVB","Tor",1,0.666666666666667
"197",60,"BVB","BVB","Tor",1,0.666666666666667
"198",2,"FCB","BVB","Tor",1,0.666666666666667
"199",4,"FCB","BVB","Tor",1,0
"200",6,"FCB","BVB","Tor",1,0.666666666666667
"201",8,"FCB","BVB","Tor",1,1
"202",9,"FCB","BVB","Tor",1,0.666666666666667
"203",10,"FCB","BVB","Tor",1,1
