fan_cl_spiel,participant,"BVB Items_(42,189]_1","BVB Items_(42,189]_2","BVB Items_(5.1,42]_1","BVB Items_(5.1,42]_2","BVB Items_[0.78,5.1]_1","BVB Items_[0.78,5.1]_2","FCB Items_(42,189]_1","FCB Items_(42,189]_2","FCB Items_(5.1,42]_1","FCB Items_(5.1,42]_2","FCB Items_[0.78,5.1]_1","FCB Items_[0.78,5.1]_2"
BVB Fans,21,0.5,0.6,0.444444444444444,0.666666666666667,0.142857142857143,0.571428571428571,0.2,1,0.857142857142857,0.571428571428571,0.111111111111111,0.111111111111111
BVB Fans,23,0.8,0.4,0.666666666666667,0.777777777777778,0.428571428571429,0.571428571428571,0.4,0.8,0.428571428571429,0.428571428571429,0.555555555555556,0.666666666666667
BVB Fans,24,0.6,0.5,0.555555555555556,0.222222222222222,0.714285714285714,1,0.4,0.8,0.857142857142857,0.714285714285714,0.888888888888889,0.666666666666667
BVB Fans,25,0.5,0.5,0.666666666666667,0.444444444444444,0.428571428571429,0.571428571428571,0.8,0.8,0.571428571428571,0.428571428571429,0.444444444444444,0.444444444444444
BVB Fans,28,0.5,0.4,0.444444444444444,0.777777777777778,0.857142857142857,0.714285714285714,0.4,0.8,0.714285714285714,0.714285714285714,0.666666666666667,0.555555555555556
BVB Fans,29,0.7,0.7,0.444444444444444,0.666666666666667,0.714285714285714,0.571428571428571,0.2,0.4,0.714285714285714,0.714285714285714,0.777777777777778,0.666666666666667
BVB Fans,30,0.8,0.5,0.666666666666667,0.555555555555556,0.857142857142857,0.714285714285714,0.6,0.6,0.857142857142857,0.857142857142857,0.888888888888889,0.888888888888889
BVB Fans,31,0.6,0.3,0.555555555555556,0.555555555555556,1,1,0.4,0.6,0.428571428571429,0.571428571428571,0.888888888888889,0.666666666666667
BVB Fans,32,0.5,0.6,0.444444444444444,0.333333333333333,0.714285714285714,0.714285714285714,0.4,0.8,0.285714285714286,0.714285714285714,0.555555555555556,0.555555555555556
BVB Fans,33,0.4,0.5,0.777777777777778,0.555555555555556,0.714285714285714,1,0.8,0.4,0.714285714285714,0.571428571428571,0.666666666666667,0.777777777777778
BVB Fans,34,0.6,0.2,0.666666666666667,0.555555555555556,0.714285714285714,0.714285714285714,0.8,0.6,0.571428571428571,0.428571428571429,0.666666666666667,0.444444444444444
BVB Fans,36,0.6,0.5,0.444444444444444,0.444444444444444,0.285714285714286,0.857142857142857,0.4,0.6,0.857142857142857,0.714285714285714,0.444444444444444,0.444444444444444
BVB Fans,38,0.6,0.6,0.666666666666667,0.777777777777778,1,0.857142857142857,0.8,0.6,0.714285714285714,0.857142857142857,0.555555555555556,0.555555555555556
BVB Fans,40,0.7,0.4,0.444444444444444,0.888888888888889,0.857142857142857,0.714285714285714,0.8,0.6,0.571428571428571,0.714285714285714,0.666666666666667,0.555555555555556
